playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478870,2021,Rudolfs Balcers,SJS,L,other,31,735.0,27.0,9.61,0.47,0.59,0.41,0.55,0.41,0.56,105.0,0.76,0.05,0.04,0.12,0.02,0.4,0.37,0.05,0.05,0.05,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.06,0.06,0.06,27.0,2.0,4.0,3.0,18.0,1.0,5.0,9.0,12.0,1.0,1.0,3144.0,0.0,0.0,0.0,1.0,5.52,1.86,1.85,1.86,1.85,6.0,1.0,2.0,9.0,4.0,0.0,0.0,3.0,1.0,3.0,0.14,0.1,1.61,1.0,0.0,3.0,9.0,7.0,7.0,0.1,0.0,0.0,1.95,1.95,1.94,7.23,2.07,2.07,2.07,2.07,9.0,1.0,3.0,13.0,3.0,0.0,0.0,2.0,4.0,4.0,0.02,0.5,1.55,0.0,0.0,3.0,13.0,10.0,10.0,0.13,0.0,0.0,2.2,2.2,2.2,6.2,4.3,54.0,44.0,0.11,0.0,1.0,0.0,1.0,0.0
8478870,2021,Rudolfs Balcers,SJS,L,all,31,28704.0,700.0,14.45,0.45,0.5,0.47,0.46,0.46,0.47,192.0,56.41,5.78,3.95,12.02,1.76,28.82,23.66,5.61,5.81,5.64,6.0,3.0,55.0,21.0,19.0,95.0,15.0,6.0,2.0,1.0,10.0,1.0,26.0,31.0,49.0,70.0,4.0,8.0,6.0,64.0,14.0,16.0,44.0,28.0,4.0,1.47,3.24,1.07,2.0,3.0,1.0,95.42,76.0,76.69,3.0,0.83,0.44,0.85,5.76,5.75,5.68,700.0,69.0,97.0,77.0,457.0,85.0,98.0,109.0,408.0,6.0,8.0,83674.0,8.0,8.0,4.0,23.0,223.64,20.75,20.13,20.85,20.23,230.0,77.0,113.0,420.0,23.0,14.0,1.0,214.0,73.0,20.0,6.18,8.46,6.12,9.0,9.0,5.0,421.69,307.0,307.83,3.18,3.33,2.93,21.0,21.05,20.71,258.08,25.03,24.14,24.86,23.99,257.0,103.0,119.0,479.0,28.0,15.0,2.0,261.0,72.0,27.0,7.84,8.68,8.52,11.0,9.0,8.0,480.89,360.0,361.17,3.92,3.55,3.55,25.4,25.26,24.7,64.55,65.79,1190.0,1401.0,0.0,0.0,0.0,0.0,0.0,0.0
8478870,2021,Rudolfs Balcers,SJS,L,5on5,31,25382.0,580.0,14.45,0.48,0.47,0.49,0.43,0.49,0.45,143.0,51.89,5.36,3.69,11.36,1.64,27.25,20.7,5.2,5.4,5.23,4.0,2.0,49.0,21.0,18.0,88.0,12.0,6.0,2.0,1.0,9.0,1.0,26.0,26.0,43.0,64.0,4.0,8.0,5.0,61.0,12.0,15.0,40.0,26.0,4.0,1.33,2.96,1.07,2.0,3.0,1.0,88.42,70.0,70.69,3.0,0.77,0.44,0.85,5.28,5.27,5.2,580.0,63.0,74.0,71.0,372.0,77.0,79.0,88.0,336.0,5.0,7.0,67167.0,8.0,8.0,4.0,21.0,206.87,17.68,17.09,17.78,17.18,211.0,74.0,109.0,394.0,18.0,13.0,1.0,203.0,66.0,16.0,5.81,7.69,4.19,8.0,8.0,2.0,395.69,285.0,285.83,2.9,3.09,2.93,17.66,17.71,17.4,214.52,19.32,18.64,19.16,18.48,216.0,83.0,106.0,405.0,22.0,15.0,2.0,221.0,61.0,17.0,6.6,7.43,5.29,9.0,9.0,4.0,406.89,299.0,300.17,2.98,3.55,3.55,18.75,18.62,18.29,41.78,48.06,874.0,1156.0,1.45,0.63,20.0,22.0,16.0,13.0
8478870,2021,Rudolfs Balcers,SJS,L,4on5,31,2294.0,77.0,12.84,0.12,0.09,0.12,0.14,0.14,0.17,87.0,2.83,0.21,0.13,0.42,0.08,0.88,2.28,0.2,0.21,0.2,1.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.09,0.12,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.03,0.0,0.0,0.24,0.24,0.23,77.0,1.0,19.0,2.0,55.0,5.0,10.0,9.0,53.0,0.0,0.0,4852.0,0.0,0.0,0.0,0.0,5.94,0.44,0.43,0.44,0.43,8.0,0.0,0.0,8.0,1.0,0.0,0.0,5.0,3.0,0.0,0.12,0.32,0.0,0.0,1.0,0.0,8.0,8.0,8.0,0.05,0.0,0.0,0.5,0.5,0.49,34.14,3.21,3.02,3.21,3.02,30.0,18.0,10.0,58.0,3.0,0.0,0.0,36.0,7.0,5.0,1.2,0.74,1.27,2.0,0.0,1.0,58.0,48.0,48.0,0.77,0.0,0.0,3.98,3.98,3.75,0.79,7.81,21.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
8478870,2021,Rudolfs Balcers,SJS,L,5on4,31,293.0,16.0,4.2,1.0,0.88,1.0,0.87,1.0,0.84,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,1.0,12.0,2.0,4.0,3.0,7.0,0.0,0.0,3491.0,0.0,0.0,0.0,0.0,3.53,0.3,0.29,0.3,0.29,3.0,2.0,1.0,6.0,0.0,1.0,0.0,3.0,2.0,0.0,0.11,0.19,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.08,0.24,0.0,0.38,0.38,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.76,96.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2021,Ilya Lyubushkin,ARI,D,other,46,1119.0,21.0,3.22,0.54,0.51,0.26,0.55,0.3,0.53,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,4.0,2.0,12.0,0.0,7.0,3.0,11.0,0.0,0.0,4089.0,2.0,2.0,1.0,1.0,6.45,3.81,3.17,3.81,3.17,4.0,6.0,0.0,10.0,2.0,1.0,1.0,4.0,1.0,5.0,0.12,0.09,3.59,0.0,0.0,2.0,10.0,10.0,10.0,0.08,0.79,0.79,3.1,3.1,3.0,16.32,3.22,2.14,3.22,2.14,15.0,8.0,5.0,28.0,2.0,1.0,0.0,12.0,5.0,6.0,0.59,0.53,2.09,2.0,0.0,0.0,28.0,23.0,23.0,0.39,0.18,0.18,3.42,3.42,2.29,10.25,9.95,100.0,81.0,0.0,0.1,0.0,2.0,0.0,2.0
8480950,2021,Ilya Lyubushkin,ARI,D,all,46,49956.0,1097.0,3.47,0.36,0.45,0.39,0.47,0.38,0.47,202.0,33.13,1.05,1.82,9.04,1.14,20.76,15.2,1.01,1.03,0.99,3.0,5.0,33.0,16.0,11.0,60.0,8.0,0.0,0.0,0.0,8.0,2.0,13.0,26.0,33.0,49.0,13.0,26.0,0.0,94.0,12.0,15.0,49.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,58.24,49.0,47.78,12.0,0.36,0.0,0.0,1.4,1.37,1.33,1097.0,67.0,212.0,146.0,672.0,111.0,170.0,131.0,685.0,0.0,0.0,117202.0,26.0,10.0,5.0,60.0,298.96,24.03,22.96,24.06,22.98,288.0,133.0,129.0,550.0,27.0,18.0,4.0,341.0,62.0,18.0,9.51,7.53,6.98,14.0,7.0,6.0,538.15,421.0,414.94,3.81,3.83,3.83,24.02,24.0,23.7,485.57,43.34,41.1,44.12,41.86,503.0,171.0,200.0,874.0,52.0,37.0,7.0,520.0,110.0,44.0,14.73,12.74,15.87,19.0,12.0,21.0,898.9,674.0,688.96,8.08,6.7,7.05,44.37,45.1,43.12,79.83,98.06,1618.0,1840.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2021,Ilya Lyubushkin,ARI,D,5on5,46,41925.0,930.0,3.47,0.44,0.45,0.46,0.45,0.46,0.46,198.0,32.83,1.04,1.75,8.9,1.09,20.35,14.88,1.01,1.02,0.98,3.0,4.0,32.0,16.0,10.0,58.0,7.0,0.0,0.0,0.0,8.0,2.0,12.0,26.0,32.0,48.0,9.0,18.0,0.0,79.0,9.0,13.0,48.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,56.24,48.0,46.78,10.0,0.34,0.0,0.0,1.38,1.35,1.31,930.0,59.0,134.0,136.0,601.0,105.0,132.0,103.0,590.0,0.0,0.0,92768.0,18.0,4.0,2.0,44.0,280.16,19.52,19.09,19.55,19.11,271.0,122.0,126.0,519.0,24.0,17.0,3.0,322.0,58.0,13.0,9.12,7.01,3.39,13.0,7.0,4.0,507.15,393.0,386.94,3.58,3.03,3.03,20.08,20.05,19.86,334.82,25.26,24.54,26.04,25.31,353.0,110.0,148.0,611.0,31.0,22.0,5.0,363.0,79.0,21.0,10.01,9.23,6.03,12.0,10.0,9.0,635.9,463.0,477.96,4.43,4.66,5.0,24.69,25.41,24.94,51.67,64.21,1214.0,1458.0,3.74,0.34,71.0,12.0,60.0,12.0
8480950,2021,Ilya Lyubushkin,ARI,D,4on5,46,6753.0,134.0,3.47,0.04,0.12,0.08,0.11,0.08,0.12,117.0,0.3,0.01,0.07,0.14,0.05,0.41,0.32,0.01,0.01,0.01,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,11.0,2.0,2.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.01,0.0,0.0,0.02,0.02,0.02,134.0,3.0,74.0,7.0,50.0,4.0,28.0,23.0,79.0,0.0,0.0,7109.0,6.0,0.0,0.0,0.0,11.69,0.68,0.68,0.68,0.68,12.0,5.0,3.0,20.0,1.0,0.0,0.0,14.0,3.0,0.0,0.26,0.43,0.0,1.0,0.0,0.0,20.0,17.0,17.0,0.14,0.0,0.0,0.82,0.82,0.81,133.77,14.83,14.38,14.83,14.38,134.0,53.0,45.0,232.0,19.0,14.0,2.0,144.0,26.0,17.0,4.1,2.98,7.75,5.0,2.0,12.0,232.0,187.0,187.0,3.26,1.86,1.86,16.22,16.22,15.86,2.3,17.58,28.0,219.0,0.14,0.03,1.0,1.0,1.0,1.0
8480950,2021,Ilya Lyubushkin,ARI,D,5on4,46,159.0,12.0,-0.65,1.0,0.85,1.0,0.8,1.0,0.76,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,9.0,2.0,3.0,2.0,5.0,0.0,0.0,3685.0,0.0,0.0,0.0,2.0,0.66,0.02,0.02,0.02,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,0.91,84.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8476285,2021,Matthew Peca,STL,C,other,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476285,2021,Matthew Peca,STL,C,all,5,2890.0,67.0,1.01,0.48,0.5,0.5,0.47,0.43,0.48,54.0,2.62,0.13,0.17,0.63,0.09,1.77,1.21,0.12,0.13,0.12,0.0,1.0,3.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,5.0,3.0,0.0,2.0,3.0,1.0,0.0,0.05,0.08,0.0,0.0,0.0,0.0,8.17,4.0,4.08,0.0,0.04,0.0,0.0,0.17,0.16,0.16,67.0,5.0,5.0,12.0,45.0,9.0,12.0,5.0,41.0,5.0,7.0,15348.0,0.0,4.0,2.0,1.0,13.82,1.14,1.13,1.16,1.15,16.0,4.0,9.0,29.0,0.0,0.0,0.0,16.0,3.0,1.0,0.61,0.27,0.25,0.0,0.0,0.0,29.92,20.0,20.38,0.22,0.0,0.0,1.36,1.38,1.36,18.05,1.23,1.19,1.28,1.24,16.0,10.0,3.0,29.0,1.0,2.0,1.0,22.0,3.0,1.0,0.59,0.34,0.31,0.0,0.0,1.0,28.94,26.0,26.15,0.24,0.46,0.46,1.01,1.02,1.01,13.22,13.39,213.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0
8476285,2021,Matthew Peca,STL,C,5on5,5,2848.0,63.0,1.01,0.49,0.48,0.51,0.45,0.44,0.47,54.0,2.62,0.13,0.17,0.63,0.09,1.77,1.21,0.12,0.13,0.12,0.0,1.0,3.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,5.0,3.0,0.0,2.0,3.0,1.0,0.0,0.05,0.08,0.0,0.0,0.0,0.0,8.17,4.0,4.08,0.0,0.04,0.0,0.0,0.17,0.16,0.16,63.0,5.0,5.0,12.0,41.0,9.0,11.0,4.0,39.0,5.0,7.0,12742.0,0.0,4.0,2.0,1.0,13.82,1.14,1.13,1.16,1.15,16.0,4.0,9.0,29.0,0.0,0.0,0.0,16.0,3.0,1.0,0.61,0.27,0.25,0.0,0.0,0.0,29.92,20.0,20.38,0.22,0.0,0.0,1.36,1.38,1.36,17.33,1.21,1.17,1.26,1.22,15.0,10.0,3.0,28.0,1.0,2.0,1.0,21.0,3.0,1.0,0.57,0.34,0.31,0.0,0.0,1.0,27.94,25.0,25.15,0.23,0.46,0.46,0.98,0.99,0.98,9.13,9.9,168.0,203.0,0.2,0.03,4.0,1.0,4.0,1.0
8476285,2021,Matthew Peca,STL,C,4on5,5,41.0,3.0,1.23,0.0,0.29,0.0,0.24,0.0,0.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.02,0.02,0.02,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,0.33,0.82,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8476285,2021,Matthew Peca,STL,C,5on4,5,1.0,1.0,0.0,0.0,0.94,0.0,0.78,0.0,0.71,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.09,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8479388,2021,Riley Stillman,CHI,D,other,28,636.0,8.0,1.88,0.66,0.59,0.33,0.27,0.38,0.27,37.0,2.27,0.2,0.17,0.65,0.15,1.33,0.51,0.19,0.2,0.19,1.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.1,0.09,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.05,0.04,0.04,0.2,0.2,0.2,8.0,1.0,4.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,0.0,1357.0,0.0,0.0,0.0,0.0,6.3,1.65,1.65,1.65,1.65,6.0,2.0,0.0,8.0,2.0,1.0,0.0,4.0,2.0,2.0,0.19,0.21,1.24,1.0,0.0,1.0,8.0,8.0,8.0,0.11,0.04,0.04,1.71,1.71,1.71,9.02,0.86,0.83,0.86,0.83,9.0,4.0,3.0,16.0,2.0,1.0,0.0,10.0,3.0,0.0,0.44,0.42,0.0,1.0,1.0,0.0,16.0,13.0,13.0,0.17,0.2,0.2,0.83,0.83,0.8,4.71,3.29,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
8479388,2021,Riley Stillman,CHI,D,all,28,24496.0,561.0,5.92,0.43,0.52,0.43,0.48,0.42,0.49,147.0,24.78,0.81,1.42,7.03,0.91,15.0,10.82,0.79,0.82,0.8,5.0,4.0,25.0,11.0,27.0,63.0,10.0,1.0,1.0,0.0,12.0,1.0,7.0,14.0,24.0,35.0,10.0,27.0,0.0,67.0,6.0,14.0,34.0,2.0,0.0,0.63,0.18,0.0,1.0,0.0,0.0,62.16,36.0,36.11,12.0,0.3,0.04,0.04,1.07,1.07,1.05,561.0,49.0,48.0,75.0,389.0,74.0,89.0,66.0,332.0,0.0,0.0,77872.0,27.0,21.0,6.0,29.0,169.74,14.74,14.58,14.71,14.54,176.0,60.0,92.0,328.0,16.0,8.0,1.0,175.0,52.0,9.0,5.26,6.31,3.17,7.0,7.0,2.0,322.61,236.0,234.52,2.38,1.35,1.35,15.78,15.75,15.62,234.29,19.54,18.63,19.65,18.73,250.0,78.0,109.0,437.0,20.0,27.0,0.0,249.0,61.0,18.0,7.35,6.97,5.22,12.0,5.0,3.0,444.61,328.0,331.33,3.52,4.87,4.87,18.19,18.31,17.85,59.4,54.81,1110.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0
8479388,2021,Riley Stillman,CHI,D,5on5,28,22185.0,508.0,5.92,0.47,0.49,0.45,0.47,0.44,0.48,136.0,22.51,0.62,1.24,6.38,0.76,13.68,10.32,0.6,0.62,0.6,4.0,3.0,23.0,10.0,27.0,60.0,8.0,1.0,0.0,0.0,12.0,1.0,6.0,13.0,22.0,32.0,10.0,27.0,0.0,66.0,4.0,13.0,32.0,1.0,0.0,0.53,0.09,0.0,1.0,0.0,0.0,59.16,33.0,33.11,11.0,0.25,0.0,0.0,0.87,0.87,0.85,508.0,46.0,37.0,71.0,354.0,74.0,82.0,58.0,294.0,0.0,0.0,59655.0,27.0,21.0,6.0,26.0,158.74,12.94,12.77,12.9,12.73,165.0,56.0,91.0,312.0,14.0,7.0,1.0,164.0,50.0,7.0,4.91,6.11,1.92,6.0,7.0,1.0,306.61,221.0,219.52,2.21,1.3,1.3,13.85,13.82,13.69,197.84,14.37,13.84,14.48,13.94,212.0,66.0,96.0,374.0,15.0,19.0,0.0,218.0,49.0,11.0,6.22,5.54,2.62,10.0,4.0,1.0,381.61,278.0,281.33,2.72,3.03,3.03,14.07,14.19,13.84,31.16,32.93,781.0,890.0,1.52,0.13,25.0,11.0,21.0,7.0
8479388,2021,Riley Stillman,CHI,D,4on5,28,1619.0,40.0,3.1,0.03,0.14,0.12,0.13,0.14,0.18,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,7.0,3.0,30.0,0.0,6.0,7.0,27.0,0.0,0.0,4447.0,0.0,0.0,0.0,0.0,3.99,0.14,0.14,0.14,0.14,5.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.05,0.0,0.0,0.19,0.19,0.19,27.13,4.3,3.96,4.3,3.96,28.0,8.0,10.0,46.0,3.0,7.0,0.0,20.0,9.0,7.0,0.68,1.01,2.61,1.0,0.0,2.0,46.0,36.0,36.0,0.61,1.65,1.65,3.26,3.26,3.19,1.23,7.84,19.0,123.0,0.15,0.0,2.0,0.0,2.0,0.0
